date,close,log_return
2021-11-15,63614.06,
2021-11-16,60108.9,-0.056676597996377254
2021-11-17,60365.6,0.004261489169554267
2021-11-18,56930.68,-0.05858501888455869
2021-11-19,58136.22,0.020954490152362837
2021-11-20,59769.66,0.02770929681024903
2021-11-21,58700.83,-0.018044307920062508
2021-11-22,56303.06,-0.0417049810714083
2021-11-23,57566.6,0.022193653050226914
2021-11-24,57175.09,-0.0068242243840952455
2021-11-25,58966.99,0.030859481784341725
2021-11-26,53788.22,-0.0919233117216205
2021-11-27,54805.03,0.01872749397796092
2021-11-28,57331.41,0.04506666300816953
2021-11-29,57839.55,0.008824156666239702
2021-11-30,56975.35,-0.015054079579183366
2021-12-01,57227.97,0.004424046726962061
2021-12-02,56522.76,-0.012399375989204486
2021-12-03,53663.25,-0.0519149792024276
2021-12-04,49243.39,-0.08595326428067374
2021-12-05,49465.5,0.00450031146865193
2021-12-06,50552.83,0.021743471192127828
2021-12-07,50633.01,0.0015848070595989583
2021-12-08,50513.04,-0.002372214362496905
2021-12-09,47593.85,-0.05952796956116657
2021-12-10,47191.14,-0.008497388102419734
2021-12-11,49398.4,0.04571187189835868
2021-12-12,50109.99,0.014302354405263173
2021-12-13,46731.03,-0.06981199142613725
2021-12-14,48387.69,0.03483704454549219
2021-12-15,48885.05,0.010226181235740484
2021-12-16,47635.92,-0.025884525263537128
2021-12-17,46164.14,-0.0313837922824991
2021-12-18,46861.62,0.014995697325117519
2021-12-19,46697.13,-0.003516296861260315
2021-12-20,46913.54,0.00462362646336878
2021-12-21,48917.48,0.04182846367146276
2021-12-22,48614.97,-0.006203288650455718
2021-12-23,50830.2,0.04455915796737209
2021-12-24,50840.36,0.00019986119942316805
2021-12-25,50431.63,-0.008071969737908802
2021-12-26,50790.88,0.007098253311554004
2021-12-27,50714.73,-0.0015004099632704992
2021-12-28,47536.39,-0.0647208779501991
2021-12-29,46471.7,-0.02265199782560323
2021-12-30,47129.66,0.014059001651618885
2021-12-31,46197.31,-0.019980955536606615
2022-01-01,47737.35,0.03279253907856017
2022-01-02,47306.41,-0.009068306076320809
2022-01-03,46450.79,-0.018252331636354313
2022-01-04,45824.54,-0.013573717163581023
2022-01-05,43432.51,-0.05361151645840323
2022-01-06,43094.54,-0.00781193207794928
2022-01-07,41543.79,-0.036648255302599964
2022-01-08,41686.67,0.0034333617849853226
2022-01-09,41869.6,0.004378613173253498
2022-01-10,41832.59,-0.0008843257843533792
2022-01-11,42743.03,0.021530440332922396
2022-01-12,43919.67,0.02715614235736652
2022-01-13,42575.61,-0.03108072940865725
2022-01-14,43089.83,0.012005452285864138
2022-01-15,43088.74,-2.52963120672689E-05
2022-01-16,43100.36,0.00026963966604753864
2022-01-17,42224.38,-0.02053357040149173
2022-01-18,42372.75,0.003507687604226817
2022-01-19,41674.8,-0.016608837360617912
2022-01-20,40697.03,-0.023741512772231133
2022-01-21,36469.3,-0.10968430603450052
2022-01-22,35075.92,-0.03895595562568488
2022-01-23,36288.15,0.0339763865418945
2022-01-24,36702.79,0.01136153227475134
2022-01-25,36975.99,0.007416009116914424
2022-01-26,36829.37,-0.0039731583960413985
2022-01-27,37189.85,0.009740249896296405
2022-01-28,37744.7,0.014809193900861217
2022-01-29,38184.86,0.011594033485080146
2022-01-30,37908.44,-0.007265323383258249
2022-01-31,38494.66,0.015345751785890371
2022-02-01,38721.49,0.005875212697821652
2022-02-02,36918.19,-0.0476903595587963
2022-02-03,37328.64,0.011056476924419911
2022-02-04,41590.34,0.10810706832491412
2022-02-05,41418.21,-0.00414728956763355
2022-02-06,42412.41,0.023720368896333
2022-02-07,43861.07,0.03358613040482261
2022-02-08,44080.12,0.004981748666999408
2022-02-09,44422.91,0.007746440187592185
2022-02-10,43531.67,-0.020266608176854106
2022-02-11,42398.98,-0.026364413829966793
2022-02-12,42239.01,-0.00378010372143045
2022-02-13,42069.84,-0.004013107213314271
2022-02-14,42552.28,0.011402343192582265
2022-02-15,44576.33,0.046469563054243324
2022-02-16,43896.34,-0.015372055349715197
2022-02-17,40545.09,-0.07941625715725564
2022-02-18,39994.66,-0.013668742947865908
2022-02-19,40107.12,0.0028079294590099835
2022-02-20,38397.25,-0.04356803221512706
2022-02-21,37037.39,-0.036057899513503244
2022-02-22,38267.75,0.03267956198876476
2022-02-23,37270.85,-0.026395985143240708
2022-02-24,38353.62,0.028637397322384572
2022-02-25,39239.77,0.022841856213723588
2022-02-26,39134.83,-0.00267791000431572
2022-02-27,37714.96,-0.03695603059065711
2022-02-28,43189.46,0.13553965128120105
2022-03-01,44428.47,0.02828399616285715
2022-03-02,43935.37,-0.011160789718962505
2022-03-03,42474.37,-0.033818855250423496
2022-03-04,39154.4,-0.08138803082168522
2022-03-05,39407.02,0.006431168649825736
2022-03-06,38428.92,-0.025133671884512765
2022-03-07,38030.63,-0.01041841346535044
2022-03-08,38748.52,0.01870067384956897
2022-03-09,41962.85,0.07969214153025206
2022-03-10,39443.42,-0.06191746308089208
2022-03-11,38741.03,-0.017967994839073853
2022-03-12,38805.53,0.0016635171147285632
2022-03-13,37796.31,-0.0263512834337174
2022-03-14,39696.28,0.04904600171911078
2022-03-15,39314.86,-0.009654916076659248
2022-03-16,41133.64,0.045223713749559025
2022-03-17,40956.79,-0.004308669685277877
2022-03-18,41790.97,0.020162678965407466
2022-03-19,42235.02,0.010569447235235785
2022-03-20,41243.16,-0.023764453870732893
2022-03-21,41043.9,-0.0048430552622278356
2022-03-22,42380.11,0.03203692281344139
2022-03-23,42904.1,0.012288244062185427
2022-03-24,44006.77,0.02537609325591461
2022-03-25,44331.36,0.007348841565962161
2022-03-26,44542.31,0.004747196693053013
2022-03-27,46842.14,0.050343701154657694
2022-03-28,47128.71,0.006099144327331274
2022-03-29,47445.3,0.006695099056868159
2022-03-30,47056.41,-0.008230373720239825
2022-03-31,45522.65,-0.03313709050416591
2022-04-01,46299.75,0.01692655721728009
2022-04-02,45822.28,-0.010366125792049985
2022-04-03,46414.26,0.012836303885441325
2022-04-04,46609.36,0.004194639728389404
2022-04-05,45501.58,-0.02405432870263624
2022-04-06,43177.78,-0.05242103955479749
2022-04-07,43466.21,0.006657843560359922
2022-04-08,42273.38,-0.027826281104291084
2022-04-09,42768.61,0.011646848765229478
2022-04-10,42153.77,-0.014480299379718176
2022-04-11,39536.71,-0.0640945155140269
2022-04-12,40086.66,0.013814003235486538
2022-04-13,41150.33,0.02618833589502856
2022-04-14,39951.63,-0.02956247415079538
2022-04-15,40563.69,0.01520385909499744
2022-04-16,40392.55,-0.0042279694545506175
2022-04-17,39688.16,-0.017592455585749178
2022-04-18,40811.03,0.027899481575355267
2022-04-19,41504.44,0.016848021454407558
2022-04-20,41375.35,-0.003115116589707867
2022-04-21,40490.97,-0.021606306586354762
2022-04-22,39716.04,-0.019323849967983975
2022-04-23,39445.97,-0.00682324887397634
2022-04-24,39466.26,0.0005142422270196789
2022-04-25,40437.52,0.024311937176760168
2022-04-26,38117.39,-0.05908745840525498
2022-04-27,39252.04,0.02933280895392265
2022-04-28,39749.75,0.012600134372306115
2022-04-29,38594.22,-0.029501027446537265
2022-04-30,37650.13,-0.02476611723066391
2022-05-01,38480.53,0.02181599199623996
2022-05-02,38513.01,0.0008437071974274346
2022-05-03,37725.38,-0.020663028789714488
2022-05-04,39680.21,0.05051949724223803
2022-05-05,36546.86,-0.08225730194876313
2022-05-06,36009.89,-0.014801649843521503
2022-05-07,35469.21,-0.015128626754419727
2022-05-08,34033.77,-0.04131172921619708
2022-05-09,30076.9,-0.12359583171836874
2022-05-10,31013.12,0.030652905496710403
2022-05-11,29017.21,-0.06652123851527314
2022-05-12,28915.72,-0.0035037103707384887
2022-05-13,29244.83,0.011317414047807617
2022-05-14,30050.31,0.02717017114915876
2022-05-15,31296.11,0.04062083160463281
2022-05-16,29838.5,-0.047694302696843494
2022-05-17,30415.91,0.0191663207971704
2022-05-18,28667.29,-0.059209075237689035
2022-05-19,30282.48,0.05481257592610511
2022-05-20,29166.15,-0.03756053720830366
2022-05-21,29410.72,0.008350443482280312
2022-05-22,30264.29,0.028609235891750018
2022-05-23,29075.68,-0.04006638370543847
2022-05-24,29630.05,0.018886963141520496
2022-05-25,29508.27,-0.004118486021761569
2022-05-26,29188.71,-0.010888572368576988
2022-05-27,28597.33,-0.020468633848171436
2022-05-28,29013.53,0.014448916084749186
2022-05-29,29452.23,0.015007355883636109
2022-05-30,31716.41,0.07406458376292235
2022-05-31,31782.16,0.0020709135181604665
2022-06-01,29789.58,-0.06474645813894675
2022-06-02,30439.63,0.02158670992551137
2022-06-03,29680.3,-0.02526185179567264
2022-06-04,29845.48,0.005549878522471019
2022-06-05,29897.9,0.0017548392291200088
2022-06-06,31353.78,0.04754659015673113
2022-06-07,31111.75,-0.00774927263666747
2022-06-08,30189.27,-0.030098998102175756
2022-06-09,30082.94,-0.0035283295671248993
2022-06-10,29067.38,-0.034341650437065496
2022-06-11,28389.49,-0.023597576978428236
2022-06-12,26587.35,-0.06558346749016941
2022-06-13,22471.59,-0.1681836940530168
2022-06-14,22118.37,-0.0158433597387706
2022-06-15,22566.73,0.020068212775731453
